id,publicaddress,caseNumber,precinct,reportedDate,reportedDateTime,offense,description,centerLong,centerLat,centerX,centerY,neighborhood
9503,0022XX HENNEPIN AVE,MP2023315660,5,2023/11/26 00:00:00+00,2023/11/26 17:26:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29303,44.96052,-10385332.44,5615308.036,East Isles
9504,0010XX WASHINGTON AVE SE,MP2023315696,2,2023/11/26 00:00:00+00,2023/11/26 19:22:00+00,AUTOTH,AUTOMOBILE THEFT,-93.22312,44.97367,-10377550.57,5617376.95,Prospect Park - East River Road
9505,0023XX GARFIELD AVE,MP2023315708,5,2023/11/26 00:00:00+00,2023/11/26 18:24:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28675,44.96001,-10384633.45,5615228.842,Whittier
9572,26TH AVE S / FRANKLIN AVE E,MP2023185995,3,2023/07/15 00:00:00+00,2023/07/15 02:26:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23457,44.96276,-10378825.17,5615660.957,Seward
9574,0024XX 13TH AVE S,MP2023186041,3,2023/07/15 00:00:00+00,2023/07/15 07:30:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25623,44.95823,-10381235.8,5614948.796,Midtown Phillips
9578,0012XX BROOK AVE SE,MP2023186080,2,2023/07/15 00:00:00+00,2023/07/15 08:04:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23393,44.98695,-10378753.91,5619467.216,Como
9581,0018XX 1ST AVE S,MP2023186100,5,2023/07/15 00:00:00+00,2023/07/15 08:43:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27658,44.96458,-10383501.61,5615947.59,Steven's Square - Loring Heights
9583,0011XX 4TH AVE S,MP2023186142,1,2023/07/15 00:00:00+00,2023/07/15 10:35:00+00,AUTOTH,AUTOMOBILE THEFT,-93.2702,44.97032,-10382791.41,5616849.497,Downtown West
9587,0027XX 13TH AVE S,MP2023186187,3,2023/07/15 00:00:00+00,2023/07/15 15:45:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25628,44.95284,-10381241.12,5614099.818,Midtown Phillips
9588,0036XX LONGFELLOW AVE,MP2023186196,3,2023/07/15 00:00:00+00,2023/07/15 10:35:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24607,44.93683,-10380104.63,5611581.862,Standish
9589,0003XX 2ND ST S,MP2023186209,1,2023/07/15 00:00:00+00,2023/07/15 11:11:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26192,44.98044,-10381869.03,5618443.263,Downtown West
9591,0022XX COLFAX AVE S,MP2023186223,5,2023/07/15 00:00:00+00,2023/07/15 11:18:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29183,44.96002,-10385199.09,5615229.889,Lowry Hill East
9592,0025XX BRYANT AVE S,MP2023186227,5,2023/07/15 00:00:00+00,2023/07/15 11:20:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29058,44.95644,-10385059.93,5614665.873,Lowry Hill East
9593,0017XX HENNEPIN AVE,MP2023186252,5,2023/07/15 00:00:00+00,2023/07/15 15:15:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28888,44.96587,-10384870.3,5616150.694,Lowry Hill
9595,0019XX CENTRAL AVE NE,MP2023186279,2,2023/07/15 00:00:00+00,2023/07/15 12:47:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24737,45.00841,-10380249.71,5622845.0,Windom Park
9596,0038XX LYNDALE AVE S,MP2023186324,5,2023/07/15 00:00:00+00,2023/07/15 18:03:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28825,44.93316,-10384800.23,5611005.473,King Field
9597,0019XX GOLDEN VALLEY RD,MP2023186339,4,2023/07/15 00:00:00+00,2023/07/15 14:22:00+00,AUTOTH,AUTOMOBILE THEFT,-93.30506,44.99875,-10386671.97,5621325.085,Jordan
9598,0020XX ALDRICH AVE S,MP2023186354,5,2023/07/15 00:00:00+00,2023/07/15 14:13:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28928,44.96181,-10384914.63,5615510.538,Lowry Hill East
9606,0027XX LAKE ST W,MP2023186606,5,2023/07/15 00:00:00+00,2023/07/15 19:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.31461,44.94951,-10387735.21,5613576.36,Cedar - Isles - Dean
9608,LAGOON AVE / JAMES AVE S,MP2023186647,5,2023/07/15 00:00:00+00,2023/07/15 20:05:00+00,AUTOTH,AUTOMOBILE THEFT,-93.30335,44.94926,-10386481.85,5613537.634,East Isles
9611,31ST ST W / ALDRICH AVE S,MP2023186717,5,2023/07/15 00:00:00+00,2023/07/15 21:12:00+00,AUTOTH,AUTOMOBILE THEFT,-93.2894,44.94661,-10384928.49,5613119.942,South Uptown
9612,0002XX LAKE ST W,MP2023186736,5,2023/07/15 00:00:00+00,2023/07/15 21:25:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27881,44.94835,-10383749.39,5613393.448,Lyndale
9615,LYNDALE AVE S / 28TH ST W,MP2023186864,5,2023/07/15 00:00:00+00,2023/07/15 23:10:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28807,44.95195,-10384780.26,5613960.115,Whittier
9619,0028XX ALDRICH AVE S,MP2023186912,5,2023/07/16 00:00:00+00,2023/07/16 00:57:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28935,44.951,-10384923.05,5613810.138,Lowry Hill East
9620,0005XX 7TH ST S,MP2023186920,1,2023/07/16 00:00:00+00,2023/07/16 01:28:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26475,44.97371,-10382184.5,5617383.974,Elliot Park
9622,0024XX PILLSBURY AVE,MP2023186982,5,2023/07/16 00:00:00+00,2023/07/16 02:30:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28128,44.95822,-10384024.7,5614946.505,Whittier
9625,0001XX 26TH ST W,MP2023187020,5,2023/07/16 00:00:00+00,2023/07/16 02:11:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28047,44.95553,-10383934.59,5614523.817,Whittier
9626,0030XX COLFAX AVE S,MP2023187034,5,2023/07/16 00:00:00+00,2023/07/16 02:44:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29193,44.94748,-10385209.78,5613256.628,South Uptown
9627,0033XX FREMONT AVE N,MP2023187038,4,2023/07/16 00:00:00+00,2023/07/16 03:48:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29559,45.01585,-10385617.74,5624016.51,Folwell
9628,0056XX LYNDALE AVE S,MP2023187058,5,2023/07/16 00:00:00+00,2023/07/16 03:49:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28828,44.9012,-10384803.72,5605980.149,Windom
9629,0009XX 7TH ST S,MP2023187086,1,2023/07/16 00:00:00+00,2023/07/16 05:19:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25931,44.9714,-10381579.09,5617020.156,Elliot Park
9637,0025XX LYNDALE AVE S,MP2023230485,5,2023/08/28 00:00:00+00,2023/08/28 08:22:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28804,44.95644,-10384776.84,5614665.955,Whittier
9639,0002XX 27TH ST E,MP2023230502,5,2023/08/28 00:00:00+00,2023/08/28 16:08:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27343,44.95373,-10383151.21,5614240.429,Whittier
9645,0025XX 5TH ST NE,MP2023230661,2,2023/08/28 00:00:00+00,2023/08/28 11:49:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26035,45.01405,-10381694.59,5623733.878,Holland
9646,0001XX GRANT ST W,MP2023230704,1,2023/08/28 00:00:00+00,2023/08/28 14:43:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28008,44.96986,-10383891.06,5616778.292,Loring Park
9650,61ST ST W / LYNDALE AVE S,MP2023230782,5,2023/08/28 00:00:00+00,2023/08/28 15:24:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28836,44.89237,-10384812.39,5604593.121,Windom
9655,0034XX EMERSON AVE S,MP2023230846,5,2023/08/28 00:00:00+00,2023/08/28 15:15:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29455,44.94042,-10385501.59,5612146.267,South Uptown
9658,0042XX 21ST AVE S,MP2023230898,3,2023/08/28 00:00:00+00,2023/08/28 15:59:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24226,44.92602,-10379681.2,5609882.137,Standish
